lband,uband,center,a1,b1
1.862,2.952,2.407,-0.017972,0.000318809
3.002,4.922,3.962,-0.0177202,0.00034005
5.052,9.999,7.5255,-0.00642898,0.000799157
10.054,14.84,12.447,0.00326442,8.74992e-05
15.01,19.858,17.434,0.0127261,0.00238466
20.002,24.918,22.46,-0.0592997,0.00154553
25.11,29.95,27.53,-0.065154,0.00170927
30.331,34.985,32.658,-0.0740308,0.00174077
35.601,39.982,37.7915,-0.0380497,0.000645189
40.114,43.67,41.892,0.000815105,0.00012901
45.3,49.937,47.6185,-0.0142005,0.000237533
50.0,55.0,52.5,-0.00578278,9.88009e-05
55.437,59.96,57.6985,0.0,0.0
60.976,64.41,62.693,-0.000526566,4.56454e-05
65.03,70.0,67.515,0.00132153,7.1233e-06
70.1,75.0,72.55,0.0,0.0
75.001,80.0,77.5005,0.000740834,3.56129e-05
80.1,85.0,82.55,0.0,0.0
85.1,90.0,87.55,0.0,0.0
90.1,95.0,92.55,0.0,0.0
95.1,100.0,97.55,0.0,0.0
100.1,105.0,102.55,0.0,0.0
