lband,uband,center,a1,b1,a2,b2,w1,w2,wchr
1.862,2.952,2.407,0.0,0.0,-0.017972,0.000318809,0.0,2.0,1.0
3.002,4.922,3.962,0.000864574,0.000960715,-0.0177202,0.00034005,0.24,1.76,1.0
5.052,9.999,7.5255,0.00916964,0.0101854,-0.00642898,0.000799157,0.8,1.2,1.0
10.054,14.84,12.447,0.00244611,0.00236549,0.00326442,8.74992e-05,1.125,1.125,1.0
15.01,19.858,17.434,0.00983623,0.00380251,0.0127261,0.00238466,1.125,1.125,1.0
20.002,24.918,22.46,0.0115316,0.00447421,-0.0592997,0.00154553,0.3375,1.9125,1.0
25.11,29.95,27.53,0.000174342,0.000966984,-0.065154,0.00170927,0.18,2.07,1.0
30.331,34.985,32.658,0.0,0.0,-0.0740308,0.00174077,0.0,1.3808,1.726
35.601,39.982,37.7915,0.000432063,9.68613e-05,-0.0380497,0.000645189,0.02037,1.2018,1.0184
40.114,43.67,41.892,0.00447497,0.00100319,0.000815105,0.00012901,0.24172,0.4489,3.4531
45.3,49.937,47.6185,0.00188729,0.00178671,-0.0142005,0.000237533,0.29122,0.65524,0.7281
50.0,55.0,52.5,0.00718125,0.00278783,-0.00578278,9.88009e-05,1.2381,0.56275,2.251
55.437,59.96,57.6985,0.00698594,0.00230912,0.0,0.0,0.0,0.0,1.6545
60.976,64.41,62.693,0.00118972,0.000345875,-0.000526566,4.56454e-05,5.4085,3.6057,1.2019
65.03,70.0,67.515,0.00201972,0.00068429,0.00132153,7.1233e-06,2.2257,0.74191,2.473
70.1,75.0,72.55,0.00087883,0.000835838,0.0,0.0,0.0,0.0,2.8459
75.001,80.0,77.5005,0.0123617,0.00491086,0.000740834,3.56129e-05,0.0,0.0,0.0
80.1,85.0,82.55,0.00998898,0.00910774,0.0,0.0,0.0,0.0,1.9197
85.1,90.0,87.55,0.0016334,0.024699,0.0,0.0,0.0,0.0,1.5441
90.1,95.0,92.55,0.00798482,0.0206026,0.0,0.0,0.0,0.0,1.5157
95.1,100.0,97.55,0.0100441,0.00661423,0.0,0.0,0.0,0.0,0.9826
100.1,105.0,102.55,0.0182233,0.0130975,0.0,0.0,0.0,0.0,0.0497
