lband,uband,a1,b1,a2,b2,w1,w2,wchr
25.632,25.632,0.0115847,0.0016549,0.0,0.0,0.0,0.0,1.0
28.415,28.415,0.0,0.0,-0.0936616,0.00139477,0.0,1.05,1.0
30.331,30.331,0.0,0.0,-0.0497807,0.000903115,0.0,1.1745,1.0
30.378,30.378,0.24958,0.0356501,0.0,0.0,0.0,0.0,0.5873
36.807,36.807,0.0,0.0,0.0258679,0.000205401,0.0,0.01272,0.0254
46.522,46.522,0.0,0.0,0.00449212,4.58682e-05,0.0,1.0471,0.8055
55.437,55.437,0.015679,0.00323537,0.0,0.0,0.0,0.0,0.5841
58.433,58.433,0.00150905,0.0130326,0.0,0.0,0.0,0.0,0.5258
60.976,60.976,0.0,0.0,0.000172306,0.000200784,0.0,0.42239,0.528
62.973,62.973,0.0253029,0.0054965,0.0,0.0,0.0,0.0,0.6448
70.336,70.336,0.00654365,0.00112692,0.0,0.0,0.0,0.0,0.8529
76.515,76.515,0.00222136,0.00073979,0.0,0.0,0.0,0.0,2.8179
77.041,77.041,0.0,0.0,0.00139946,6.72645e-05,0.0,1.8057,1.2038
78.771,78.771,0.00383174,0.000790574,0.0,0.0,0.0,0.0,10.93
97.702,97.702,0.0486867,0.018084,0.0,0.0,0.0,0.0,1.0
102.57,102.57,0.00137646,0.0208082,0.0,0.0,0.0,0.0,1.0737
103.19,103.19,-0.00147633,0.0156699,0.0,0.0,0.0,0.0,2.0631
