lband,uband,center,w1,w2,wchr
1.862,2.952,2.407,0.0,2.0,1.0
3.002,4.922,3.962,0.24,1.76,1.0
5.052,9.999,7.5255,0.8,1.2,1.0
10.054,14.84,12.447,1.125,1.125,1.0
15.01,19.858,17.434,1.125,1.125,1.0
20.002,24.918,22.46,0.3375,1.9125,1.0
25.11,29.95,27.53,0.18,2.07,1.0
30.331,34.985,32.658,0.0,1.3808,1.726
35.601,39.982,37.7915,0.02037,1.2018,1.0184
40.114,43.67,41.892,0.24172,0.4489,3.4531
45.3,49.937,47.6185,0.29122,0.65524,0.7281
50.0,55.0,52.5,1.2381,0.56275,2.251
55.437,59.96,57.6985,0.0,0.0,1.6545
60.976,64.41,62.693,5.4085,3.6057,1.2019
65.03,70.0,67.515,2.2257,0.74191,2.473
70.1,75.0,72.55,0.0,0.0,2.8459
75.001,80.0,77.5005,0.0,0.0,0.0
80.1,85.0,82.55,0.0,0.0,1.9197
85.1,90.0,87.55,0.0,0.0,1.5441
90.1,95.0,92.55,0.0,0.0,1.5157
95.1,100.0,97.55,0.0,0.0,0.9826
100.1,105.0,102.55,0.0,0.0,0.0497
